1.000000000000000000e+00,1.999321000000000000e+06,1.550000000000000000e+02
2.000000000000000000e+00,5.449240000000000000e+05,7.600000000000000000e+01
3.000000000000000000e+00,1.202746000000000000e+06,1.320000000000000000e+02
4.000000000000000000e+00,1.867109000000000000e+06,1.600000000000000000e+02
5.000000000000000000e+00,1.933529000000000000e+06,1.610000000000000000e+02
6.000000000000000000e+00,1.397631000000000000e+06,1.470000000000000000e+02
7.000000000000000000e+00,2.168700000000000000e+04,3.000000000000000000e+00
8.000000000000000000e+00,1.079971000000000000e+06,1.560000000000000000e+02
9.000000000000000000e+00,2.387738000000000000e+06,1.600000000000000000e+02
1.000000000000000000e+01,1.046977000000000000e+06,1.180000000000000000e+02
1.100000000000000000e+01,7.709070000000000000e+05,6.700000000000000000e+01
1.200000000000000000e+01,1.304038000000000000e+06,1.350000000000000000e+02
1.300000000000000000e+01,2.067632000000000000e+06,1.530000000000000000e+02
1.400000000000000000e+01,1.635475000000000000e+06,1.580000000000000000e+02
1.500000000000000000e+01,1.808768000000000000e+06,1.610000000000000000e+02
1.600000000000000000e+01,3.416330000000000000e+05,4.900000000000000000e+01
1.900000000000000000e+01,1.304214000000000000e+06,1.310000000000000000e+02
2.000000000000000000e+01,2.116427000000000000e+06,1.600000000000000000e+02
2.100000000000000000e+01,1.142549000000000000e+06,9.400000000000000000e+01
2.200000000000000000e+01,1.458933000000000000e+06,1.500000000000000000e+02
2.300000000000000000e+01,1.219116000000000000e+06,1.590000000000000000e+02
2.400000000000000000e+01,1.199296000000000000e+06,1.590000000000000000e+02
2.500000000000000000e+01,6.701830000000000000e+05,6.500000000000000000e+01
2.600000000000000000e+01,1.024620000000000000e+06,1.030000000000000000e+02
2.700000000000000000e+01,4.210820000000000000e+05,4.900000000000000000e+01
2.800000000000000000e+01,1.908395000000000000e+06,1.570000000000000000e+02
2.900000000000000000e+01,1.066086000000000000e+06,9.700000000000000000e+01
3.000000000000000000e+01,1.918385000000000000e+06,1.530000000000000000e+02
3.100000000000000000e+01,1.226905000000000000e+06,1.610000000000000000e+02
3.200000000000000000e+01,1.397594000000000000e+06,1.460000000000000000e+02
3.300000000000000000e+01,1.343971000000000000e+06,1.460000000000000000e+02
3.400000000000000000e+01,9.601740000000000000e+05,1.130000000000000000e+02
3.500000000000000000e+01,1.948305000000000000e+06,1.600000000000000000e+02
